window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2011-11-05 → 2012-11-05,7434507.108432322,47504448.71908882,18004501.47818964,36216734.24055712,26.37886142301304,71.82997023502085,45.45110881200782
2011-11-06 → 2012-11-06,7434507.108432322,47504448.71908882,17938069.645214837,35331017.53630954,26.213071730529098,69.61954349456354,43.40647176403445
2011-11-07 → 2012-11-07,7434507.108432322,47504448.71908882,17870974.935816333,35467787.197997175,26.045627739593357,69.96087082420273,43.91524308460937
2011-11-08 → 2012-11-08,7434507.108432322,47504448.71908882,17805697.753541563,36280016.29343302,25.882719635286538,71.98789922201759,46.105179586731055
2011-11-09 → 2012-11-09,7434507.108432322,47504448.71908882,17741744.712214533,37054606.8335371,25.723116105168035,73.9209954756395,48.19787937047147
2011-11-10 → 2012-11-10,7434507.108432322,47504448.71908882,17673498.6294998,36071545.501490824,25.5527987052131,71.46763195043577,45.914833245222674
2011-11-11 → 2012-11-11,7434507.108432322,47504448.71908882,17603248.29108724,35703896.380522534,25.377479412025313,70.55011346603021,45.1726340540049
2011-11-12 → 2012-11-12,7434507.108432322,47504448.71908882,17539131.361107018,38650849.362138815,25.21746687543811,77.90463624085888,52.68716936542077
2011-11-13 → 2012-11-13,7434507.108432322,47504448.71908882,17473846.41061847,38891700.55941297,25.054539384495158,78.50571322673125,53.45117384223609
2011-11-14 → 2012-11-14,7434507.108432322,47504448.71908882,17407469.10226477,39346845.40997508,24.888885765633763,79.64158922821028,54.75270346257652
2011-11-15 → 2012-11-15,7434507.108432322,47504448.71908882,17309346.39598539,32387021.922758076,24.644007180002678,62.27240123476919,37.62839405476652
2011-11-16 → 2012-11-16,7434507.108432322,47504448.71908882,17215297.69225172,31929532.23157841,24.40929582292733,61.1306733639754,36.72137754104807
2011-11-17 → 2012-11-17,7434507.108432322,47504448.71908882,17131497.565924983,33265309.335432522,24.200161187441736,64.46428716564579,40.26412597820405
2011-11-18 → 2012-11-18,7434507.108432322,47504448.71908882,17035299.038308874,31352360.277064834,23.960084651890895,59.69026209479581,35.73017744290492
2011-11-19 → 2012-11-19,7434507.108432322,45413477.02250898,16929047.828996234,30291280.35489061,24.999468764014114,60.18270979483984,35.18324103082573
2011-11-20 → 2012-11-20,7434507.108432322,45413477.02250898,16828678.28420243,29125560.911699954,24.735192126125092,57.113328382368756,32.378136256243664
2011-11-21 → 2012-11-21,7434507.108432322,43861973.70352295,16728166.842110468,28107398.788158245,25.51278088312258,56.75083559753242,31.23805471440984
2011-11-22 → 2012-11-22,7434507.108432322,43057818.19580801,16630819.15888328,27394191.46713112,25.815433124378995,56.02984043157117,30.21440730719217
2011-11-23 → 2012-11-23,7434507.108432322,42912495.66990102,16535683.77346933,26878942.275463317,25.65302328024722,54.807039393853515,29.154016113606296
2011-11-24 → 2012-11-24,7434507.108432322,41002444.15078315,16440706.775990363,26182266.3746162,26.82976810935808,55.85019789131174,29.020429781953656
2011-11-25 → 2012-11-25,7434507.108432322,40456348.10792841,16350730.208142605,26256756.85148506,27.00098731577789,56.99939547083387,29.998408155055976
